Bench,ARM64 Baseline Compile,,,,,ARM64 Baseline Comp+Run,,,,,ARM64 Cranelift Compile,,,,,ARM64 Cranelift Comp+Run,,,,,
asm2wasm_base64,00.07,00.08,00.07,00.07,00.07,04.31,04.11,04.10,04.14,04.12,00.28,00.27,00.28,00.27,00.29,03.02,03.02,03.02,03.02,03.02,
asm2wasm_box2d,00.08,00.08,00.08,00.08,00.09,06.79,06.83,06.81,06.84,06.77,00.88,00.88,00.90,00.90,00.88,05.39,05.47,05.42,05.43,05.38,
asm2wasm_bullet,00.10,00.12,00.11,00.12,00.10,07.16,07.16,07.20,07.17,07.20,03.50,03.48,03.47,03.50,03.51,08.20,08.20,08.28,08.20,08.27,
asm2wasm_conditionals,00.08,00.08,00.08,00.08,00.06,FAIL,FAIL,FAIL,FAIL,FAIL,00.22,00.22,00.22,00.22,00.20,FAIL,FAIL,FAIL,FAIL,FAIL,
asm2wasm_copy,00.07,00.07,00.07,00.07,00.07,02.90,02.89,02.89,02.91,02.91,00.21,00.22,00.22,00.22,00.21,02.29,02.27,02.29,02.29,02.27,
asm2wasm_corrections,00.08,00.08,00.07,00.08,00.08,03.43,03.44,03.43,03.44,03.43,00.21,00.22,00.21,00.21,00.22,02.18,02.17,02.18,02.17,02.17,
asm2wasm_fannkuch,00.07,00.07,00.07,00.07,00.07,12.83,12.85,12.86,12.82,12.81,00.28,00.29,00.30,00.28,00.28,07.07,07.07,07.07,07.07,07.07,
asm2wasm_fasta,00.07,00.07,00.08,00.07,00.08,07.57,07.56,07.57,07.58,07.58,00.28,00.28,00.30,00.29,00.28,04.26,04.25,04.25,04.25,04.24,
asm2wasm_havlak,00.07,00.08,00.08,00.07,00.07,02.99,03.00,03.02,03.02,03.02,00.45,00.44,00.46,00.45,00.44,02.86,02.90,02.87,02.90,02.86,
asm2wasm_ifs,00.07,00.07,00.06,00.07,00.08,FAIL,FAIL,FAIL,FAIL,FAIL,00.22,00.22,00.21,00.21,00.22,FAIL,FAIL,FAIL,FAIL,FAIL,
asm2wasm_linpack_double.c,00.07,00.08,00.07,00.08,00.08,02.36,02.34,02.36,02.37,02.35,00.31,00.32,00.31,00.31,00.32,01.47,01.48,01.48,01.47,01.46,
asm2wasm_lua_binarytrees.c,00.13,00.13,00.13,00.14,00.14,14.81,14.83,14.81,14.87,14.90,02.19,02.17,02.18,02.17,02.17,17.93,17.88,17.86,17.89,17.87,
asm2wasm_lua_scimark.c,00.14,00.14,00.14,00.14,00.14,08.64,08.67,08.63,08.65,08.63,02.20,02.18,02.20,02.19,02.19,11.60,11.65,11.54,11.63,11.57,
asm2wasm_matrix_multiply,00.07,00.08,00.08,00.07,00.07,14.99,14.98,14.98,14.98,14.98,00.28,00.28,00.28,00.28,00.28,04.64,04.64,04.63,04.63,04.65,
asm2wasm_memops,00.07,00.08,00.07,00.07,00.08,07.60,07.60,07.59,07.59,07.59,00.27,00.27,00.27,00.26,00.26,02.83,02.83,02.82,02.82,02.84,
asm2wasm_primes,00.08,00.08,00.08,00.08,00.06,02.63,02.63,02.63,02.63,02.64,00.22,00.21,00.21,00.21,00.21,02.75,02.74,02.75,02.75,02.75,
asm2wasm_skinning,00.06,00.08,00.07,00.07,00.06,10.48,10.46,10.46,10.46,10.47,00.26,00.27,00.26,00.26,00.27,02.91,02.91,02.91,02.91,02.92,
asm2wasm_zlib.c,00.08,00.07,00.07,00.07,00.08,05.09,05.09,05.09,05.07,05.07,01.28,01.30,01.26,01.28,01.27,05.51,05.47,05.51,05.47,05.48,
